Márta Mészáros,
Martha Ansara,
Martha Coolidge,
Martha Fiennes,
Martha Mitchell,
Martha Stephens,
Marthe Blackburn,
Marti Noxon,
Martine Chartrand,
Marusya Bociurkiw,
Mary Agnes Donoghue,
Mary Ellen Bute,
Mary Harron,
Mary Jordan,
Mary Kay Place,
Mary Lambert,
Mary Lewis,
Mary Lou Belli,
Mary Madeiras,
Mary McGuckian,
Mary Nighy,
Mary Sexton,
Mary Stuart Masterson,
Mary Walker-Sawka,
Maryam Henein,
Maryann Brandon,
Maryanne Zéhil,
Marzieh Meshkini,
Mati Diop,
Matia Karrell,
Maude Michaud,
Maureen Bradley,
Maureen Judge,
May Miles Thomas,
Maya Deren,
Maya Forbes,
Maya Gallus,
Megan Follows,
Megan Park,
Meher Afroz Shaon,
Mehreen Jabbar,
Mélanie Carrier,
Melanie La Rosa,
Melanie Mayron,
Melanie Merkosky,
Melanie Oates,
Melanie Rodriga,
Melissa Gilbert,
Melissa Joan Hart,
Mellissa Fung,
Melody Gilbert,
Meryam Joobeur,
Mia Donovan,
Mia Hansen-Løve,
Michal Bat-Adam,
Michal Vinik,
Michèle Cournoyer,
Micheline Lanctôt,
Michelle Ehlen,
Michelle Handelman,
Michelle Latimer,
Michelle MacLaren,
Michelle Mama,
Michelle Manning,
Michelle Mohabeer,
Michelle Nolden,
Michelle St. John,
Midi Onodera,
Mika Ninagawa,
Millefiore Clarkes,
Millicent Shelton,
Mimi Leder,
Min Sook Lee,
Mina Shum,
Mingmongkol Sonakul,
Mipo O,
Mipo Oh,
Mira Burt-Wintonick,
Mira Fornay,
Mira Lesmana,
Mira Nair,
Miranda de Pencier,
Miranda July,
Miranda Richardson,
Mireille Dansereau,
Miriam Bucher,
Miryam Charles,
Mitra Farahani,
Miwa Nishikawa,
Molly Dineen,
Molly McGlynn,
Molly Parker,
Momoko Ando,
Mona Achache,
Mona Zandi Haghighi,
Monia Chokri,
Monica Zanetti,
Monika Mitchell,
Monika Treut,
Mouly Surya,
Mouna Traoré,
Mr. and Mrs. Sidney Drew,
Mrs. Sidney Drew,
Muriel Box,
Myriam Verreault,
Nadia Tass,
Nadine Labaki,
Nadine Monfils,
Nadine Pequeneza,
Nadine Trintignant,
Nafiss Nia,
Najwa Najjar,
Nan Achnas,
Nana Djordjadze,
Nana Jorjadze,
Nancy Beiman,
Nancy Cooperstein,
Nancy Criss,
Nancy Kates,
Nancy Malone,
Nancy McKeon,
Nancy Meckler,
Nancy Meyers,
Nancy Savoca,
Nancy Walker,
Nanette Burstein,
Nanfu Wang,
Naoko Ogigami,
Naoko Yamada,
Naomi Kawase,
Naomi Levine,
Naomi McCormack,
Nargis Akhter,
Natalia Almada,
Natalie Bible',
Natalie Portman,
Natalya Bondarchuk,
Natalya Merkulova,
Natasha Arthy,
Nathalie Teirlinck,
Nathalie Younglai,
Neasa Hardiman,
Neema Barnette,
Nell Scovell,
Nell Shipman,
Nelly Kaplan,
Nelofer Pazira,
Netalie Braun,
Nettie Wild,
Ngardy Conteh George,
Ngozi Onwurah,
Nia DaCosta,
Nia Dinata,
Nicki Hunter,
Nicol Ruiz Benavides,
Nicole Conn,
Nicole Dorsey,
Nicole G. Leier,
Nicole Garcia,
Nicole Holofcener,
Nicole Kassell,
Nicole Riegel,
Nicole Stamp,
Nicole Védrès,
Niki Caro,
Niki Karimi,
Nimisha Mukerji,
Nina Menkes,
Ning Ying,
Ninja Thyberg,
Nisha Ganatra,
Nisha Pahuja,
Nnegest Likké,
Noémie Lvovsky,
Nora Ephron,
Norma Bailey,
Norma Safford Vela,
Noura Kevorkian,
Nurith Aviv,
Nyla Innuksuk,
Oksana Bychkova,
Olga Preobrazhenskaya,
Olga Rautenkranzová,
Olivia Wilde,
Omolola Ajao,
Ona Zee,
Ondi Timoner,
Pam Hall,
Pam Thomas,
Pam Veasey,
Pamela Fryman,
Pamela Tola,
Pamela Yates,
Paprika Steen,
Pascale Ferran,
Patricia Arquette,
Patricia Birch,
Patricia Cardoso,
Patricia Chica,
Patricia Gruben,
Patricia Mazuy,
Patricia Richardson,
Patricia Riggen,
Patricia Rozema,
Patty Jenkins,
Paula Delsol,
Paula Patton,
Paula van der Oest,
Paule Baillargeon,
Paulette McDonagh,
Peg Campbell,
Peg Norman,
Peggy Ahwesh,
Peggy Holmes,
Peggy Rajski,
Penelope Spheeris,
Penny Marshall,
Pepita Ferrari,
Perry Miller Adato,
Petra Joy,
Phoebe Hart,
Phyllida Lloyd,
Phyllis Ellis,
Phyllis Nagy,
Pietra Brettkelly,
Pilar Miró,
Pimpaka Towira,
Polly Draper,
Pooja Bhatt,
Pouran Derakhshandeh,
Pratibha Parmar,
Prema Karanth,
Rachel Feldman,
Rachel Goslins,
Rachel Leah Jones,
Rachel Raimist,
Rachel Talalay,
Rachel Ward,
Radda Novikova,
Rajashree,
Rakel Liekki,
Rakhshan Bani-Etemad,
Ramata-Toulaye Sy,
Ramona Diaz,
Rana Abu Fraihah,
Randa Chahal Sabag,
Randa Haines,
Raquel Freire,
Ratna Asmara,
Rea Tajiri,
Rebecca Horn,
Rebecca Miller,
Regina King,
Regine Deforges,
Renata Litvinova,
Renée Beaulieu,
Renee O'Connor,
Renée Oro,
Renuka Jeyapalan,
Revathi,
Rhayne Vermette,
Ric Esther Bienstock,
Rima Das,
Rita Leistner,
Ritva Arvelo,
Roberta Findlay,
Robin Bain,
Robin Wright,
Ronit Avni,
Roopa Rao,
Rosanna Arquette,
Rose Glass,
Rose Rosenblatt,
Rose Troche,
Roseanne Barr,
Rosemarie Hickson,
Rosemary Rodriguez,
Roshell Bissett,
Rosie Newman,
Rosine Mbakam,
Roslyn Schwartz,
Rosser Goodman,
Rosvita Dransfeld,
Rowan Deacon,
Roxann Dawson,
Roxann Whitebean,
Ruba Nadda,
Ruby Grierson,
Ruby Yang,
Ruth Caudeli,
Ruth Orkin,
Sabiha Sumar,
Sachi Hamano,
Sachiko Hidari,
Sadaf Foroughi,
Sadie Benning,
Safi Faye,
Safiya Songhai,
Sagari Chhabra,
Sai Paranjpye,
Sakane Tazuko,
Salli Richardson,
Sally El Hosaini,
Sally Field,
Sally McDonald,
Sally Potter,
Sally Wainwright,
Salma Hayek,
Sam Taylor-Wood,
Samantha Lang,
Samia Zaman,
